Listing Title,Airbnb URL,Listing ID,Estimated Rental Revenue (Range),Estimated Rental Revenue (Median),Estimated ADR,Estimated Adjusted Occupancy,Active days,Booking Window,Length of Stay,Dynamic Pricing,Min Stay,Professionally Managed,Bathrooms,Max Guests,Listed Price,Listing Type,Is Active,Economic Category,Blocked Days,Rating,Reviews,Beachfront,Hot Tub,EV Charger,Kitchen,Pool,Pets Allowed,Smoking Allowed,Air Conditioning,Cleaning Fee,Guest Favorite,Host ID,Cancellation Policy
"Downtown Spacious Attic Floor 3","https://www.airbnb.com/rooms/1400299238602105887","1400299238602105887","3602-5638","4658","47.53","39","254","49","26","None","30","Small","1.0","1","70","Entire home","Yes","Economy","67","5","1","No","No","No","Yes","No","No","No","Yes","N/A","N/A","670800536","Flexible"
"Brand New Luxury Basement Apartment In Forest Hill","https://www.airbnb.com/rooms/797733326177112332","797733326177112332","3590-5699","4685","69.93","92","73","60","37","Moderate","90","Small","1.0","3","105","Entire home","Yes","Midscale","293","5","5","No","No","No","Yes","No","No","No","No","108.0","1","443306346","Moderate"
"The Spacious Sinatra Suite Near Yorkville Village.","https://www.airbnb.com/rooms/1577199311852218846","1577199311852218846","3703-5561","4699","99.98","62","76","11","19","High","28","Individual","1.5","2","123","Entire home","Yes","Midscale","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","147048306","Limited"
"Private & Central  Apartment- Close To Downtown","https://www.airbnb.com/rooms/26276283","26276283","3933-5376","4757","58.73","55","146","101","30","Low","28","Small","1.0","1","85","Entire home","Yes","Midscale","220","5","32","No","No","No","Yes","No","No","No","No","82.0","1","136724699","Firm"
"Quiet, Comfortable 1br, Easy Access To Downtown","https://www.airbnb.com/rooms/34121346","34121346","4069-5765","4942","61.02","87","93","38","25","Moderate","28","Individual","1.0","2","71","Entire rental unit","Yes","Midscale","239","4.5","18","No","No","No","Yes","No","No","No","No","107.0","N/A","1400479","Firm"
"Modern Self-Contained Apartment • All-Inclusive","https://www.airbnb.com/rooms/51019356","51019356","3922-6116","5024","83.74","35","171","12","33","Low","28","Small","1.5","2","80","Entire rental unit","Yes","Midscale","170","4","3","No","No","No","Yes","No","No","No","Yes","95.0","N/A","39636814","Firm"
"Spacious Apmt 5min To Subway, Restaurant, Grocery","https://www.airbnb.com/rooms/637512984704853378","637512984704853378","4030-6219","5295","64.58","99","83","25","31","None","28","Individual","1.0","2","109","Entire rental unit","Yes","Midscale","208","4.88","8","No","No","No","Yes","Yes","No","No","Yes","109.0","1","12740414","Firm"
"1-bedroom Apt On Summerhill Ave","https://www.airbnb.com/rooms/1436376811356429559","1436376811356429559","4329-6356","5393","173.96","12","255","1","26","None","28","Small","1.0","2","207","Entire home","Yes","Upscale","13","N/A","N/A","No","No","No","Yes","No","No","No","No","N/A","N/A","153427761","Firm"
"Affordable Luxury In Toronto Yonge & Eglinton","https://www.airbnb.com/rooms/1547570298190088534","1547570298190088534","4335-6510","5501","65.49","81","104","7","32","Moderate","28","Small","1.0","4","109","Entire condo","Yes","Midscale","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","593848913","Firm"
"TO Central Guest House-15 Min. To Downtown Center","https://www.airbnb.com/rooms/1290153289138785929","1290153289138785929","4439-6650","5667","97.7","22","265","N/A","35","None","28","Individual","1.0","5","123","Entire rental unit","Yes","Midscale","101","5","1","No","No","No","Yes","No","Yes","No","Yes","0.0","N/A","200484539","Flexible"
"Homey Beautiful Private Apartment.","https://www.airbnb.com/rooms/31220912","31220912","4562-6834","5737","72.62","34","231","11","40","Low","28","Individual","1.0","3","100","Entire rental unit","Yes","Midscale","135","5","3","No","No","No","Yes","No","No","No","No","36.0","N/A","233511796","Flexible"
"Central Apartment In The Heart Of Toronto","https://www.airbnb.com/rooms/1331852467061921867","1331852467061921867","4682-6642","5769","75.9","60","126","65","41","Moderate","28","Small","1.0","2","98","Entire rental unit","Yes","Midscale","240","5","5","No","No","No","Yes","No","Yes","No","Yes","125.0","1","1614013","Flexible"
"Toronto Eglinton Yonge Subway Line 1Bedroom 1Bath","https://www.airbnb.com/rooms/1154981678846249796","1154981678846249796","4422-6713","5790","65.8","45","195","109","46","High","28","Small","1.0","3","75","Entire rental unit","Yes","Midscale","171","4.5","4","No","No","No","Yes","No","No","No","Yes","107.0","N/A","74921217","Firm"
"Cozy Basement Apartment","https://www.airbnb.com/rooms/1137505326165159296","1137505326165159296","4422-7060","5829","53.47","60","183","24","27","None","29","Individual","1.0","3","76","Entire rental unit","Yes","Economy","183","5","3","No","No","No","Yes","No","No","No","No","73.0","N/A","169141934","Flexible"
"Sunny, Central, Private Apt- Close To Downtown","https://www.airbnb.com/rooms/19701022","19701022","4831-6604","5843","53.12","88","125","112","31","Low","28","Small","1.0","1","82","Entire guest suite","Yes","Economy","241","4.94","64","No","No","No","Yes","No","No","No","Yes","82.0","1","136724699","Firm"
"Yorkville Luxury Unit","https://www.airbnb.com/rooms/1193646562349514877","1193646562349514877","4898-6482","5846","97.44","92","65","26","60","None","30","Individual","1.0","2","121","Entire condo","Yes","Midscale","301","5","2","No","No","No","No","No","No","No","Yes","143.0","N/A","587542234","Firm"
"MODERN LOFT-SYTLE 1  -bedroom","https://www.airbnb.com/rooms/52602672","52602672","4703-6905","5859","77.09","78","98","21","38","Unknown","1","Unknown","1.0","2","108","Entire loft","Yes","Midscale","13","N/A","N/A","No","No","No","Yes","No","Yes","No","Yes","180.0","N/A","118264356","Moderate"
"Casa Loma Luxury!","https://www.airbnb.com/rooms/1114066318730207714","1114066318730207714","4929-6892","5946","83.75","100","71","37","16","Low","28","Individual","1.0","2","109","Entire rental unit","Yes","Midscale","295","4.55","11","No","No","No","Yes","No","No","No","Yes","108.0","N/A","176445660","Firm"
"One Bedroom Apartment In Whychwood Park","https://www.airbnb.com/rooms/1485648063336407429","1485648063336407429","5281-6758","6034","134.09","35","130","13","3","High","1","Small","1.0","2","129","Entire home","Yes","Midscale","12","4.79","24","No","No","No","Yes","No","No","No","Yes","29.0","N/A","3087136","Moderate"
"Cozy Annex Lower Level Suite / Laundry/WI-FI","https://www.airbnb.com/rooms/47883408","47883408","4637-7039","6071","65.28","81","115","22","49","None","28","Large","1.0","2","119","Entire rental unit","Yes","Midscale","251","4.76","21","No","No","No","Yes","No","No","No","Yes","50.0","N/A","846505","Flexible"
"Stunning Luxury Condo 1 Bed + Den/office","https://www.airbnb.com/rooms/1436915733258925026","1436915733258925026","4814-7210","6169","99.5","100","62","65","31","Low","28","Individual","1.0","2","124","Entire rental unit","Yes","Midscale","206","5","1","No","Yes","No","Yes","Yes","No","No","Yes","143.0","N/A","16997455","Limited"
"Executive Private Suite – Prestigious Area, Subway","https://www.airbnb.com/rooms/28130345","28130345","5105-6978","6174","134.22","82","56","10","24","Moderate","31","Small","1.0","2","175","Entire home","Yes","Midscale","N/A","4.9","93","No","No","Yes","Yes","No","No","No","Yes","55","N/A","62546462","Strict"
"Great Location","https://www.airbnb.com/rooms/5036573","5036573","5017-7182","6291","76.71","33","245","23","32","None","28","Small","1.0","2","104","Entire home","Yes","Midscale","121","4.85","48","No","No","No","Yes","No","No","No","Yes","25.0","1","16375413","Flexible"
"Spacious Main Floor Apartment- Close To Downtown","https://www.airbnb.com/rooms/42812140","42812140","5293-7508","6521","57.2","86","133","48","34","Low","28","Small","1.0","2","89","Entire guest suite","Yes","Economy","233","5","28","No","No","No","Yes","No","No","No","Yes","90.0","1","136724699","Firm"
"Apartment In Rosedale","https://www.airbnb.com/rooms/1412890166892197763","1412890166892197763","5007-7758","6522","86.97","29","262","9","29","Low","28","Small","1.0","2","98","Entire rental unit","Yes","Midscale","31","4","1","No","No","No","Yes","No","No","No","No","N/A","N/A","7269198","Flexible"
"Luxury King Unit Across From Drake's High School","https://www.airbnb.com/rooms/43389846","43389846","5329-7628","6682","90.29","45","165","3","27","High","28","Individual","1.0","4","83","Entire guest suite","Yes","Midscale","201","4.84","155","No","No","No","Yes","No","Yes","No","Yes","86.0","1","36197897","Flexible"
"1 Bedroom Entire Apartment In Midtown Toronto","https://www.airbnb.com/rooms/1571218928352575343","1571218928352575343","5450-8067","6759","164.86","69","59","11","4","High","1","Individual","1.0","3","201","Entire rental unit","Yes","Upscale","18","5","4","No","No","No","Yes","No","No","No","Yes","N/A","N/A","732945894","Moderate"
"Clean, Quiet Bsmnt Apt. Close To DT TO, Sunnybrook","https://www.airbnb.com/rooms/14399559","14399559","5799-7684","6786","59.01","53","219","59","35","Low","28","Individual","1.0","2","65","Entire home","Yes","Midscale","147","4.82","129","No","No","No","Yes","No","No","No","No","72.0","1","88508504","Moderate"
"Cozy Studio Number 2","https://www.airbnb.com/rooms/1485720417130354855","1485720417130354855","5390-8313","7027","62.18","65","173","14","30","Low","28","Small","1.0","1","59","Entire rental unit","Yes","Midscale","7","5","2","No","No","No","Yes","No","No","No","Yes","N/A","N/A","508752272","Flexible"
"Self-Contained One Bedroom Apartment","https://www.airbnb.com/rooms/1539237701285636956","1539237701285636956","5573-8692","7169","87.42","79","104","12","30","Low","28","Moderate","1.0","2","146","Entire rental unit","Yes","Midscale","22","5","1","No","No","No","Yes","No","No","No","Yes","N/A","N/A","8569918","Firm"
"Midtown Gem: Boutique Living At Its Best!","https://www.airbnb.com/rooms/1161711901289101263","1161711901289101263","5638-8736","7242","70.31","44","235","2","35","None","28","Small","1.0","2","89","Entire rental unit","Yes","Midscale","121","5","1","No","No","No","Yes","No","No","No","Yes","93.0","N/A","39636814","Firm"
"Luxury, Multi-level Apartment At Midtown","https://www.airbnb.com/rooms/25250805","25250805","5621-8534","7360","124.75","88","67","106","30","Moderate","28","Small","1.5","4","122","Entire rental unit","Yes","Midscale","265","4.96","79","No","No","No","Yes","No","No","No","Yes","78.0","1","74285568","Firm"
"The Diamond Of Yorkville","https://www.airbnb.com/rooms/1286370511883630469","1286370511883630469","5904-8700","7391","95.99","75","103","27","24","Low","28","Individual","1.0","2","109","Entire condo","Yes","Midscale","263","5","4","No","No","No","Yes","No","No","No","Yes","0.0","N/A","661345469","Flexible"
"A/C, Free Parking, Wifi, Cable, Queen Bed, Sizable","https://www.airbnb.com/rooms/49269498","49269498","5785-9219","7605","107.12","70","101","133","18","None","28","Small","1.0","3","137","Entire rental unit","Yes","Midscale","265","4.5","8","No","No","No","Yes","No","Yes","No","Yes","0.0","N/A","385389761","Flexible"
"Annex/Yorkville Gem!","https://www.airbnb.com/rooms/769564218478237331","769564218478237331","6597-8981","7762","106.33","29","250","35","15","None","28","Individual","1.0","2","122","Entire rental unit","Yes","Midscale","103","4.48","27","No","No","No","Yes","No","No","No","Yes","43.0","N/A","33614773","Moderate"
"Cozy Midtown Studio Apartment","https://www.airbnb.com/rooms/1457533295403181751","1457533295403181751","6671-8804","7876","131.27","43","139","23","4","Moderate","2","Individual","1.0","2","140","Entire guest suite","Yes","Midscale","114","5","16","No","No","No","Yes","No","No","No","Yes","43.0","1","503291482","Moderate"
"Apartment Uptown Toronto Yonge&Eglinton","https://www.airbnb.com/rooms/14126057","14126057","6554-8958","7927","80.07","82","121","5","30","Low","30","Small","1.0","4","155","Entire rental unit","Yes","Midscale","245","4.63","52","No","No","No","Yes","No","No","No","Yes","0.0","N/A","35499709","Firm"
"Stylish Midtown Escape","https://www.airbnb.com/rooms/1460331039451456571","1460331039451456571","6171-9562","8039","73.08","67","163","13","37","Low","28","Individual","1.0","2","86","Entire rental unit","Yes","Midscale","89","5","1","No","No","No","Yes","No","Yes","No","Yes","108.0","N/A","32621396","Firm"
"Yorkville Downtown Hotel Style Large Suite","https://www.airbnb.com/rooms/29707527","29707527","6309-9630","8115","87.26","79","117","18","28","Low","30","Small","2.0","3","119","Entire condo","Yes","Midscale","249","5","15","No","No","No","Yes","No","No","No","Yes","179.0","1","223553142","Flexible"
"Cozy Designer Getaway In The City- Entire Suite","https://www.airbnb.com/rooms/1051651384188058189","1051651384188058189","6630-9405","8169","80.09","41","248","16","26","None","28","Small","1.0","4","146","Entire guest suite","Yes","Midscale","118","4.47","43","No","No","No","Yes","No","No","No","Yes","61.0","N/A","111160674","Firm"
"Art Deco Private Apartment Near Yorkdale Mall","https://www.airbnb.com/rooms/1435551978807689646","1435551978807689646","6567-9603","8178","88.89","57","161","3","15","None","21","Small","1.0","2","119","Entire home","Yes","Midscale","107","5","2","No","No","No","Yes","No","No","No","Yes","87.0","N/A","85128043","Firm"
"Lovely 1-bedroom  In Mid Toronto","https://www.airbnb.com/rooms/658045248079174122","658045248079174122","7607-9746","8777","67","75","175","44","7","Moderate","1","Individual","1.0","2","89","Entire vacation home","Yes","Midscale","191","4.95","76","No","No","No","Yes","No","No","No","No","106.0","1","451483831","Firm"
"Beauty Luxurious Rental Basement","https://www.airbnb.com/rooms/1482616516843006834","1482616516843006834","6758-10423","8810","68.3","79","163","5","30","Low","28","Small","1.0","2","85","Entire guest suite","Yes","Midscale","18","5","2","No","No","No","Yes","No","No","No","Yes","N/A","N/A","540132481","Firm"
"Cozy 1bedroom+1bath Condo In Heart Of Forest Hills","https://www.airbnb.com/rooms/1458040901845089715","1458040901845089715","7106-10315","8843","64.54","84","164","19","30","Moderate","28","Moderate","1.0","2","78","Entire rental unit","Yes","Midscale","89","4.5","4","No","Yes","No","Yes","No","No","No","Yes","72.0","N/A","680986557","Limited"
"Private 1BR Suite W/ Parking | St Clair West","https://www.airbnb.com/rooms/990322","990322","7493-10164","8915","85.72","54","193","11","30","None","28","Small","1.0","2","127","Entire rental unit","Yes","Midscale","173","4.58","38","No","No","No","Yes","No","Yes","No","No","107.0","N/A","377962","Flexible"
"The Luxe Escape | Premium 1BR In Yorkville | Gym","https://www.airbnb.com/rooms/1543811482367646467","1543811482367646467","7903-10454","9182","135.03","74","92","24","27","High","3","Individual","1.0","4","178","Entire rental unit","Yes","Midscale","24","5","7","No","No","No","Yes","Yes","No","No","Yes","N/A","1","726728922","Moderate"
"Central 1 Bedroom Condo In Toronto","https://www.airbnb.com/rooms/671688621832621513","671688621832621513","7108-10828","9235","126.51","77","95","14","38","None","28","Individual","1.0","2","197","Entire condo","Yes","Midscale","271","4.75","4","No","No","No","Yes","No","No","No","Yes","71.0","N/A","468919459","Flexible"
"1 Bedroom Suite In Heart Of The Annex","https://www.airbnb.com/rooms/776904532796679499","776904532796679499","7132-11304","9324","58.28","99","161","47","35","Low","31","Individual","1.0","2","115","Entire rental unit","Yes","Midscale","205","5","5","No","No","No","Yes","No","Yes","No","Yes","0.0","N/A","193438668","Firm"
"1BR Unit | Yonge & Eg!","https://www.airbnb.com/rooms/1483530171350896831","1483530171350896831","8262-10618","9417","165.21","58","99","14","6","High","2","Individual","1.0","4","203","Entire rental unit","Yes","Upscale","84","4.46","13","No","No","No","Yes","No","No","No","Yes","86.0","N/A","712379254","Limited"
"AN URBAN OASIS","https://www.airbnb.com/rooms/11991308","11991308","7893-10445","9421","157.01","63","96","22","60","None","28","Small","1.0","2","205","Entire rental unit","Yes","Upscale","270","4.97","35","No","No","No","Yes","No","No","No","Yes","120.0","N/A","28621092","Moderate"
"Amazing Rare Unique Cabin In The City W Fireplace","https://www.airbnb.com/rooms/1332013711963892780","1332013711963892780","7485-11242","9499","88.78","37","288","11","46","None","1","Moderate","1.0","3","104","Entire home","Yes","Midscale","23","N/A","N/A","No","No","No","Yes","No","No","No","Yes","73.0","N/A","963354","Moderate"
"Midtown Toronto Gem: Ideal 1BR","https://www.airbnb.com/rooms/667265747508883595","667265747508883595","7876-11173","9704","78.9","70","175","67","45","Low","28","Individual","1.0","4","98","Entire rental unit","Yes","Midscale","89","4.79","33","No","No","No","Yes","No","No","No","Yes","108.0","N/A","95725017","Flexible"
"Toronto Casa Loma 1BR","https://www.airbnb.com/rooms/51003859","51003859","7540-11971","9840","64.74","75","202","26","30","High","60","Small","1.0","4","85","Entire rental unit","Yes","Midscale","146","4.4","5","No","No","No","Yes","No","No","No","Yes","32.0","N/A","14720783","Flexible"
"Beautiful Main Floor Apartment In The Annex","https://www.airbnb.com/rooms/24524476","24524476","8458-11207","9897","52.93","100","187","128","39","None","31","Individual","1.0","2","82","Entire rental unit","Yes","Economy","179","5","41","No","No","No","Yes","No","No","No","No","0.0","1","185262110","Moderate"
"Private Room And Entrance, Central Location","https://www.airbnb.com/rooms/15237035","15237035","8541-10988","9987","80.54","41","301","1","2","None","28","Individual","1.0","4","90","Entire guest suite","Yes","Midscale","65","4.74","102","No","No","No","No","No","No","No","Yes","29.0","N/A","13616189","Moderate"
"New Furnished Condo With View, Free Parking & Gym","https://www.airbnb.com/rooms/1162262484798810337","1162262484798810337","7662-12162","9999","133.32","44","171","43","48","Moderate","28","Individual","1.0","2","200","Entire rental unit","Yes","Midscale","15","5","2","No","No","No","Yes","No","No","No","Yes","0.0","N/A","33530905","Moderate"
"Toronto Yonge X St Clair 2min Walk From The Subway","https://www.airbnb.com/rooms/33169996","33169996","7921-12057","10114","57.14","83","212","31","36","Moderate","28","Small","1.0","4","109","Entire rental unit","Yes","Economy","154","4.64","14","No","No","No","Yes","Yes","Yes","No","Yes","143.0","N/A","33803286","Firm"
"Chic Garden Suite In Classic Annex Home","https://www.airbnb.com/rooms/594340708145958662","594340708145958662","7963-12399","10200","73.92","88","156","44","29","None","28","Individual","1.0","2","105","Entire townhouse","Yes","Midscale","210","5","1","No","No","No","Yes","No","No","No","No","44.0","N/A","3931265","Firm"
"Luxurious Midtown Toronto Condo","https://www.airbnb.com/rooms/1129901779374854783","1129901779374854783","8365-12039","10320","105.31","63","155","N/A","33","Moderate","28","Small","1.0","3","137","Entire condo","Yes","Midscale","211","5","6","No","No","No","Yes","No","Yes","No","Yes","108.0","1","559447296","Flexible"
"Mid-Town Toronto Condo","https://www.airbnb.com/rooms/1448165484867602836","1448165484867602836","9018-11929","10477","213.81","42","117","12","11","Moderate","2","Individual","1.0","2","230","Entire condo","Yes","Upscale","65","5","9","No","No","No","Yes","No","No","No","Yes","93.0","N/A","196656993","Limited"
"The Castle Terrace","https://www.airbnb.com/rooms/50150693","50150693","8356-12216","10512","129.78","73","111","26","20","None","28","Individual","1.0","4","174","Entire condo","Yes","Midscale","185","4.87","23","No","No","No","Yes","No","Yes","No","Yes","143.0","N/A","15531498","Firm"
"Corporate-Class 1BR Yorkville Executive Residence","https://www.airbnb.com/rooms/1425054325343636625","1425054325343636625","8503-12484","10592","160.49","25","261","6","36","None","28","Large","1.0","2","248","Entire rental unit","Yes","Upscale","7","N/A","N/A","No","No","No","Yes","No","No","No","Yes","206.0","N/A","502075035","Firm"
"Wychwood Retreat","https://www.airbnb.com/rooms/1367636019369387271","1367636019369387271","8786-12010","10627","68.56","79","196","66","33","Moderate","28","Individual","1.0","2","94","Entire home","Yes","Midscale","125","5","6","No","No","No","Yes","No","No","No","No","86.0","1","143415960","Limited"
"Comfort Living, Great Location, Amenities Transit.","https://www.airbnb.com/rooms/1436288729348704742","1436288729348704742","8280-12912","10651","90.26","81","146","43","41","Low","28","Small","1.0","2","113","Entire home","Yes","Midscale","122","5","1","No","No","No","Yes","No","No","No","Yes","143.0","N/A","699332428","Firm"
"Quiet 1BR • All-Incl • 28+ Days Near Sunnybrooke","https://www.airbnb.com/rooms/52281706","52281706","8344-12992","10688","85.5","43","290","3","29","Moderate","28","Small","1.0","2","79","Entire rental unit","Yes","Midscale","47","3.67","3","No","No","No","Yes","No","No","No","No","93.0","N/A","39636814","Firm"
"Spacious, A/C, Free Parking,wifi, Cable, Queen Bed","https://www.airbnb.com/rooms/47815077","47815077","8344-12996","10772","108.8","77","129","149","15","None","28","Small","1.0","3","135","Entire rental unit","Yes","Midscale","237","5","9","No","No","No","Yes","No","Yes","No","Yes","0.0","N/A","385389761","Flexible"
"WFH Space|Midtown TO| 5 Min Walk To Yonge/Eglinton","https://www.airbnb.com/rooms/1427743982620454806","1427743982620454806","8804-12808","10958","150.1","58","126","1","2","Moderate","31","Small","1.0","3","188","Entire condo","Yes","Upscale","16","5","2","No","No","No","Yes","Yes","Yes","No","Yes","251.0","N/A","687464604","Firm"
"Cozy Urban 1BR Rental","https://www.airbnb.com/rooms/1445042282200621417","1445042282200621417","8616-13436","11083","110.83","60","167","6","31","High","28","Moderate","1.0","2","148","Entire rental unit","Yes","Midscale","101","5","1","No","No","No","Yes","Yes","No","No","Yes","N/A","N/A","5988339","Flexible"
"Spacious & Upscale 1Bedroom+Den In Midtown","https://www.airbnb.com/rooms/15480188","15480188","8679-13514","11118","89.66","97","128","14","37","None","29","Small","1.0","3","125","Entire condo","Yes","Midscale","68","5","3","No","Yes","No","Yes","Yes","No","No","Yes","58","N/A","2783292","Strict"
"1 Bedroom Apt, 2 Minutes To Subway, Safe Community","https://www.airbnb.com/rooms/841220837528667090","841220837528667090","8901-13115","11181","60.77","95","193","37","30","Moderate","28","Individual","1.0","3","75","Entire rental unit","Yes","Midscale","172","5","9","No","No","No","Yes","No","No","No","No","71.0","1","504139732","Flexible"
"Chic Yorkville Loft","https://www.airbnb.com/rooms/1188059284939611556","1188059284939611556","8998-12880","11282","179.07","32","199","21","26","High","28","Small","1.0","3","211","Entire condo","Yes","Upscale","167","4.96","24","No","No","No","Yes","No","No","No","Yes","57.0","1","470248033","Strict"
"Condo Luxury Plus Free Parking In Midtown","https://www.airbnb.com/rooms/45942474","45942474","8694-13760","11335","67.07","92","184","9","31","None","28","Individual","1.5","2","89","Entire condo","Yes","Midscale","83","5","8","No","No","No","Yes","No","No","No","Yes","72.0","1","63798087","Firm"
"Charming Suite","https://www.airbnb.com/rooms/1158047933349527140","1158047933349527140","9390-12835","11357","96.25","42","281","15","31","None","28","Individual","1.0","4","144","Entire rental unit","Yes","Midscale","85","4.82","22","No","No","No","Yes","No","No","No","Yes","87.0","N/A","79370704","Firm"
"Annex One Bedroom Apt. Close To Everything.","https://www.airbnb.com/rooms/14084357","14084357","9812-12979","11400","63.68","59","301","4","40","None","28","Small","1.0","1","96","Entire guest suite","Yes","Midscale","18","4.84","76","No","No","No","Yes","No","No","No","No","25.0","N/A","394329","Firm"
"Midtown Luxury 1 Bedroom","https://www.airbnb.com/rooms/24668638","24668638","9656-13206","11527","75.84","50","305","8","27","High","28","Small","1.5","2","90","Entire rental unit","Yes","Midscale","47","4.62","29","No","No","No","Yes","No","No","No","Yes","93.0","N/A","39636814","Firm"
